CHILD;PARENT
A12AA07;A12AA
A11HA07;A11HA
A11HA;A11H
A11H;A11
A11HA03;A11HA
A11CA01;A11CA
A11CA;A11C
C03AA04;C03AA
C03AA;C03A
L01CA04;L01CA
L01CA;L01C
L01CA02;L01CA
L01BB05;L01BB
L01BA05;L01BA
L01BA;L01B
L01AA01;L01AA
J07AM01;J07AM
J07AM;J07A
J07AJ52;J07AJ
J07AJ;J07A
J06BB04;J06BB
B06AB01;B06AB
B06AB;B06A
B06AA07;B06AA
B05XB01;B05XB
B05XB;B05X
B05XA02;B05XA
B05XA;B05X
B05BB01;B05BB
B05BB;B05B
B05BA10;B05BA
B05AA01;B05AA
B03AD01;B03AD
B03AD;B03A
B02BX04;B02BX
B02BX;B02B
B01AX05;B01AX
B01AX;B01A
B01AD10;B01AD
A16AA01;A16AA
A16AA;A16A
A16A;A16
A16;A
A14AA01;A14AA
A14AA;A14A
A14A;A14
A14;A
A12BA51;A12BA
A11HA30;A11HA
A11GA01;A11GA
A11GA;A11G
A11G;A11
A10BX02;A10BX
A10BX;A10B
A10B;A10
A10BG02;A10BG
A10BG;A10B
A10BA02;A10BA
A10BA;A10B
A10AD05;A10AD
A10AD;A10A
A10AB30;A10AB
A10AB;A10A
A07EA02;A07EA
A07EA;A07E
A07E;A07
A07DA05;A07DA
A07DA;A07D
A07D;A07
A07AA09;A07AA
A06AX02;A06AX
A06AX;A06A
A06A;A06
A06;A
A06AD18;A06AD
A06AD;A06A
A06AD02;A06AD
A06AA02;A06AA
A06AA;A06A
A06AA01;A06AA
A05BA07;A05BA
A05BA;A05B
A05B;A05
A05;A
A04AD01;A04AD
A04AD;A04A
A04A;A04
A04;A
A04AA05;A04AA
A04AA;A04A
A10BF02;A10BF
A10BF;A10B
A10BB01;A10BB
A10BB;A10B
A10AC30;A10AC
A10AC;A10A
A10AC04;A10AC
A07EC01;A07EC
A07EC;A07E
A06AD19;A06AD
A06AD04;A06AD
A06AB02;A06AB
A06AB;A06A
A03FA01;A03FA
A03FA;A03F
A03F;A03
A03;A
C02DD01;C02DD
C02DD;C02D
C02D;C02
C02;C
C02DB02;C02DB
C02DB;C02D
C01CA07;C01CA
C01CA;C01C
C01C;C01
C01;C
C01CA06;C01CA
C01BD05;C01BD
C01BD;C01B
C01B;C01
C01DA08;C01DA
C01DA;C01D
C01D;C01
C01BA02;C01BA
C01BA;C01B
C01BA01;C01BA
A03CB31;A03CB
A03CB;A03C
A03C;A03
A03AA07;A03AA
A03AA;A03A
A03A;A03
A02BC03;A02BC
A02AB01;A02AB
A02AB;A02A
A02A;A02
A01AB03;A01AB
A01AB;A01A
A01A;A01
A01;A
S01AE07;S01AE
J05AR09;J05AR
A06AX04;A06AX
N03AX22;N03AX
C01CA26;C01CA
B06AC03;B06AC
V04CD01;V04CD
V04CD;V04C
V04CA02;V04CA
V04CA;V04C
V03AZ01;V03AZ
V03AZ;V03A
N07XX59;N07XX
L01XC13;L01XC
L04AA28;L04AA
B06AC02;B06AC
L01XX40;L01XX
V04CK01;V04CK
V04CK;V04C
V03AE02;V03AE
V03AB25;V03AB
S03AA06;S03AA
S02CA06;S02CA
S02BA06;S02BA
L01CD04;L01CD
B05BB04;B05BB
L04AX05;L04AX
G03AD01;G03AD
G03AD;G03A
V04CG30;V04CG
V03AF10;V03AF
V03AF01;V03AF
V03AB19;V03AB
V03AB08;V03AB
S02AA30;S02AA
S02AA15;S02AA
S01XA03;S01XA
S01KA02;S01KA
S01KA;S01K
S01K;S01
S01HA03;S01HA
S01GA02;S01GA
R01AC01;R01AC
R01AA04;R01AA
V03AC01;V03AC
V03AB21;V03AB
V03AB16;V03AB
S03BA01;S03BA
S02AA16;S02AA
S01GX08;S01GX
S01FA05;S01FA
R01AB01;R01AB
P01BD01;P01BD
P01BD;P01B
P01BA02;P01BA
N07CA04;N07CA
N07CA;N07C
N07C;N07
N06AB10;N06AB
N06AB06;N06AB
N06AB04;N06AB
N05CH01;N05CH
N05CD08;N05CD
N05BA12;N05BA
N05AX13;N05AX
N05AX12;N05AX
N05AE04;N05AE
N05AE;N05A
N05AB04;N05AB
N05AA01;N05AA
N05AA;N05A
N04BD02;N04BD
N04BD;N04B
N04BC06;N04BC
N04AB01;N04AB
N04AB;N04A
N03AX10;N03AX
N05CC04;N05CC
N05CA02;N05CA
N05CA;N05C
N05BA04;N05BA
N05AH04;N05AH
N05AD08;N05AD
N05AD;N05A
N02BA71;N02BA
N02AF01;N02AF
N02AF;N02A
N01BB20;N01BB
N01AF03;N01AF
N01AF;N01A
M04AX01;M04AX
M04AX;M04A
M03BX02;M03BX
M03AC11;M03AC
M03AC;M03A
M03AC03;M03AC
M02AX10;M02AX
M02AX;M02A
M01CC01;M01CC
M01CC;M01C
M01C;M01
M01AB05;M01AB
L04AD01;L04AD
S01GA05;S01GA
S01FB01;S01FB
S01FB;S01F
R01AD09;R01AD
P02BA01;P02BA
P02BA;P02B
P02B;P02
P01BA01;P01BA
N07AX01;N07AX
N06BC01;N06BC
N06BC;N06B
N06B;N06
N06BA07;N06BA
N06BA;N06B
N06BA01;N06BA
N06AF04;N06AF
N06AF;N06A
N06AF03;N06AF
N06AA10;N06AA
P01AX11;P01AX
N07BC51;N07BC
N07BB01;N07BB
N06DA02;N06DA
N06AX17;N06AX
N06AX12;N06AX
N06AA04;N06AA
N06AA02;N06AA
N06AA01;N06AA
N05CM05;N05CM
N05BA06;N05BA
N05AE02;N05AE
N05AB06;N05AB
N03AX18;N03AX
N03AF02;N03AF
N03AD01;N03AD
N03AD;N03A
N07BC01;N07BC
N07AB02;N07AB
N07AB;N07A
N06BA09;N06BA
N06BA04;N06BA
N06BA02;N06BA
N06AB03;N06AB
N06AA03;N06AA
N05CF04;N05CF
N05CF03;N05CF
N05CD05;N05CD
N05CC01;N05CC
N05CA19;N05CA
N05CA01;N05CA
N05BC01;N05BC
N05BC;N05B
N05AD01;N05AD
N04BD01;N04BD
N04BC09;N04BC
N04BC05;N04BC
N03AX14;N03AX
N03AX09;N03AX
N03AG01;N03AG
N02BE71;N02BE
N02AF02;N02AF
N02AA02;N02AA
N01AX07;N01AX
M05BX04;M05BX
M05BX;M05B
M05BA08;M05BA
M03BX08;M03BX
M03BA02;M03BA
M03AC09;M03AC
M03AC01;M03AC
M01AB02;M01AB
