clinical_drug_form,ingredient
313192,10323
373245,32937
2108340,66887
372859,6883
1736560,1045453
798234,798226
377691,3638
372237,4496
1739536,119771
798241,798226
373781,9384
373124,7531
379040,7407
1719795,7980
1863365,9384
372720,6672
378003,3322
1805880,4917
1743531,1423803
373106,4917
373511,8536
376030,8536
374698,8536
374405,4917
1728043,41289
1726318,51499
800975,3024
374699,8536
374629,8536
2275273,2274413
1791383,6628
371267,6375
476398,6375
1100074,1100072
372926,30009
834234,73689
379061,1399
377736,6135
901639,901628
562784,1399
1652826,89886
367375,8091
1789858,8814
371288,2101
372978,7226
829986,798302
376830,8610
798308,798302
1869683,4885
1593133,1593128
1797899,1347
376893,237057
372368,40114
373486,8356
370998,7676
806592,798306
1655962,1147320
2181524,1156
374444,798306
372320,4821
373225,7892
1737431,732
746605,662281
1660426,11274
1658023,804179
374727,27946
374040,10368
798234,798220
798153,8723
562743,8723
1857601,11413
756805,11413
798241,798220
378341,283810
372806,6813
377483,8782
373346,8149
606725,283742
1724267,877510
1657394,798279
1728037,283742
1658069,798279
1536876,34296
1806166,10379
378070,10379
374012,37418
377452,60207
901639,901620
1804971,1112973
1665466,1665222
1796671,8825
636670,591622
378378,42612
373308,8123
377117,10829
373909,9873
1806212,1819
854976,854950
702493,9945
1729358,1819
372611,10814
1726176,68149
372971,42372
376433,2555
373883,9796
374134,10600
377768,42372
1797864,108118
540628,72625
377132,703
371515,2541
800562,1091
1663223,703
801480,1091
668578,194337
372770,6758
372941,42331
1658225,314724
372125,24605
378363,40048
371508,21107
617301,48203
562250,48203
371183,1886
372209,4450
374412,8727
372145,24812
372054,1886
1737448,11473
374751,1886
402754,6406
402751,6406
371557,2582
562265,2582
800363,10898
377481,2582
800562,10898
801480,10898
369489,8691
1668050,598
800975,10898
371226,1908
1599542,1599538
1658469,854974
1659277,2191
370934,1151
373169,32613
1657340,194279
371337,2191
1870185,1151
891521,62400
370597,1151
1806659,22178
372573,6313
1292775,1151
370599,1151
370601,1151
1304557,1151
1544464,1544460
375626,69634
1734349,1368950
370641,5489
378790,5489
801480,6308
371539,21212
800975,6308
371540,21212
371454,5489
372756,6718
1734691,140108
377716,5492
378684,31448
374391,4278
1791370,42955
377723,5492
1743827,4278
2282756,763098
406050,282388
1999666,1999660
1117534,34316
377955,1418
377441,43611
727599,42375
377095,3105
730043,283838
1439807,1455099
372187,24947
372944,30125
371935,3541
1944700,1294580
1716208,1716203
1794544,8011
372643,28889
373798,88014
1743703,6902
372868,6902
1040030,1040028
372803,6809
1608326,1608322
374635,6809
385096,115238
372161,4337
373460,8332
371751,3288
744841,719872
372091,4110
1721611,276237
372599,6387
377965,6387
372692,6582
485688,11246
727604,6387
1306290,276237
406309,21406
374301,11246
374334,40575
643065,276237
1304557,11246
372754,41493
1721587,519
1805869,4083
373070,7417
1433216,1433212
1664980,1272
378739,6058
374617,114477
1856563,8153
901639,798222
373450,8308
370975,18631
371834,3407
1870185,221147
371833,3407
1304557,8308
1657189,1597876
1659997,314504
378838,6904
1726991,1726988
863558,275891
1790148,36726
373641,8785
377505,1388
1809679,7814
1791720,7824
486041,21183
1790811,68091
372835,6851
376521,8163
372106,4127
377391,27334
372225,4491
1665087,20481
372990,7243
371966,3640
1243003,1242999
376566,27334
829986,763100
393324,4678
829970,763100
848721,73178
370564,644
1736540,49737
378857,253182
757058,8134
376890,4179
371909,1223
1666780,1223
372211,4451
372132,4179
347786,8570
370964,1223
374552,1223
854976,854932
1658469,854932
373258,7975
643073,460132
746717,36117
372570,27169
1236627,460132
854976,854968
744485,36117
1741130,473387
901639,798224
1658469,854968
1654034,296
800984,56476
378617,4462
2109039,37806
378691,121243
402433,228476
1745276,7512
373972,10169
631981,52364
1870220,1596450
798153,19698
562743,19698
370500,2348
372177,24942
1806049,9601
1114197,1114195
372997,7247
372993,7247
373194,32675
854976,854938
370682,5764
375173,7005
1739760,1739745
1718899,48937
372751,6711
377438,1813
371296,20352
372228,4492
1791700,4492
476398,2019
706238,17128
1806253,2599
371583,2599
405915,2019
377700,4492
378928,1605101
374941,2019
371472,2409
632025,300195
1726203,2540
374628,183379
1986824,1986821
370686,5781
374282,11124
1740442,6674
372563,68244
372564,68244
375196,260101
371910,3500
1804033,18330
374364,39993
371789,3327
371198,1897
665018,282446
371666,3008
373630,8745
371667,3008
371723,3264
798234,798232
1732364,3008
373299,8076
371725,3264
371729,3264
372333,4815
372938,6984
1551992,1306284
901639,798232
405942,3264
377418,3264
372595,10582
371447,2400
706237,3364
378708,11248
374285,39786
371294,2116
371454,2400
375480,47613
597849,596724
1724304,657797
374474,11423
995191,11423
1732153,1712
754760,475969
1656338,1656328
377844,11423
243353,6581
1102131,1102129
374627,61381
371532,2556
2108449,7213
1655725,327361
374166,38404
854976,854970
1791839,52769
1868508,5514
854976,854958
800363,11115
372108,4135
1665049,2180
373744,9071
370704,83818
385068,23410
374631,1291
370983,1291
374616,60307
378999,10869
372633,6468
1718961,4257
854976,854966
1660426,4257
372632,6468
1658469,854942
1718938,1603834
1658023,762817
762819,762817
833134,588250
1670386,1670383
1594679,1594675
2108395,25255
405798,358255
370528,168
631894,6057
746717,41126
370526,167
1797889,41126
998040,25255
372358,5032
745790,237159
376202,2551
1116740,864701
372651,52175
1304126,864701
1791482,5531
1428986,864701
373284,155046
372360,5032
1656794,1597609
1591941,1484911
376483,2551
371616,5032
371766,5032
378442,15996
371971,10402
808542,40254
373047,7393
808572,40254
2108259,435
372565,28439
2108226,435
891521,7393
2371799,11256
1724161,1547611
373563,8628
1656294,974779
370585,733
375450,7299
2045128,2045114
727577,214582
1658469,854930
373135,7597
1794183,20859
373892,56443
800984,56443
1790343,283821
2109014,7597
801450,56443
373133,7597
1872383,235496
385025,235496
1116740,1005931
374663,9913
385063,235496
378864,274783
372339,1546438
876076,1901
619047,4511
806391,1901
833203,816346
1304557,4511
1726256,84959
876077,1901
1657137,1657134
373599,8700
226681,272
377107,6185
800562,426
372032,105694
616577,623033
373597,8700
373265,7984
800363,6837
372645,6470
374626,190376
373707,9000
800562,6837
597729,195088
373706,9000
854976,854960
379056,352385
1866146,9000
1658469,854960
2549330,338036
378101,25480
727538,338036
1719285,4603
1483322,1483317
790263,734064
379241,29365
378660,6918
370694,59744
379242,29365
800975,6033
393355,29365
1657394,763096
372846,47858
378772,99
1740450,7715
379122,6922
829970,763096
371947,82003
376856,71535
373860,82003
374686,5011
376327,26225
371481,2418
371716,3251
371715,3251
373148,26225
1870185,36721
1292775,2418
106841,7052
1729196,7052
374606,33738
1872583,3272
379133,6960
372959,7052
372909,6926
1796418,662019
370973,1256
1789839,1256
372619,52105
1193330,1193326
763305,40790
1809031,5666
371086,1596
1651250,1597258
377215,36344
371084,1596
376922,105669
844378,89821
