CHILD;PARENT
26488-7;LP393103-9
LP393103-9;LP286557-6
33362-5;LP393104-7
LP393104-7;LP286557-6
17835-0;LP393105-4
LP393105-4;LP286557-6
777-3;LP393218-5
LP393218-5;LP14597-6
LP14597-6;LP15094-3
778-1;LP393218-5
708-8;LP393263-1
LP393263-1;LP15100-8
LP15100-8;LP19481-8
33372-4;LP393284-7
LP393284-7;LP285151-9
LP285151-9;LP15100-8
33373-2;LP393285-4
LP393285-4;LP285151-9
52816-6;LP393296-1
LP393296-1;LP65367-2
LP65367-2;LP19481-8
788-0;LP393348-0
LP393348-0;LP17698-9
LP17698-9;LP31669-2
LP31669-2;LP30866-5
LP30866-5;LP30786-5
785-6;LP393353-0
LP393353-0;LP17689-8
LP17689-8;LP31669-2
786-4;LP393357-1
LP393357-1;LP17695-5
LP17695-5;LP31669-2
787-2;LP393361-3
LP393361-3;LP15191-7
LP15191-7;LP31669-2
5909-7;LP393370-4
LP393370-4;LP16873-9
LP16873-9;LP30786-5
703-9;LP393384-5
LP393384-5;LP17278-0
LP17278-0;LP64195-8
LP64195-8;LP16873-9
7793-3;LP393392-8
LP393392-8;LP17679-9
LP17679-9;LP64195-8
7795-8;LP393393-6
LP393393-6;LP17682-3
LP17682-3;LP64195-8
7789-1;LP393397-7
LP393397-7;LP17674-0
LP17674-0;LP19268-9
LP19268-9;LP16873-9
702-1;LP393399-3
LP393399-3;LP17274-9
LP17274-9;LP19268-9
10371-3;LP393400-9
LP393400-9;LP14567-9
LP14567-9;LP19268-9
7790-9;LP393403-3
LP393403-3;LP17676-5
LP17676-5;LP19268-9
7791-7;LP393406-6
LP393406-6;LP17677-3
LP17677-3;LP19268-9
774-0;LP393409-0
LP393409-0;LP17644-3
LP17644-3;LP15192-5
LP15192-5;LP19268-9
10373-9;LP393412-4
LP393412-4;LP14569-5
LP14569-5;LP19268-9
10377-0;LP393415-7
LP393415-7;LP14573-7
LP14573-7;LP19268-9
779-9;LP393417-3
LP393417-3;LP30906-9
LP30906-9;LP19268-9
800-3;LP393421-5
LP393421-5;LP17715-1
LP17715-1;LP19268-9
801-1;LP393424-9
LP393424-9;LP17228-5
LP17228-5;LP19268-9
802-9;LP393427-2
LP393427-2;LP17717-7
LP17717-7;LP19268-9
10381-2;LP393431-4
LP393431-4;LP14577-8
LP14577-8;LP19268-9
10376-2;LP393435-5
LP393435-5;LP14572-9
LP14572-9;LP17441-4
LP17441-4;LP19269-7
LP19269-7;LP16873-9
738-5;LP393434-8
LP393434-8;LP17441-4
741-9;LP393436-3
LP393436-3;LP17463-8
LP17463-8;LP19269-7
728-6;LP393445-4
LP393445-4;LP17388-7
LP17388-7;LP183519-0
LP183519-0;LP30927-5
